,GDPC96,JAPAN_IP,PCECTPI,GS10,GS1,TB3MS,UNRATE,EXUSUK,CPIAUCSL
1957:01,2851.778,8.414362956,16.449,3.403333333,3.39,3.096666667,3.933333333,,27.77666667
1957:02,2845.453,9.097346962,16.553,3.626666667,3.54,3.14,4.1,,28.01333333
1957:03,2873.169,9.042708242,16.687,3.926666667,3.963333333,3.353333333,4.233333333,,28.26333333
1957:04,2843.718,8.796834,16.773,3.633333333,3.586666667,3.31,4.933333333,,28.4
1958:01,2770,8.632917838,16.978,3.04,2.16,1.756666667,6.3,,28.73666667
1958:02,2788.278,8.414362956,17.009,2.923333333,1.35,0.956666667,7.366666667,,28.93
1958:03,2852.741,8.660237198,17.022,3.5,2.386666667,1.68,7.333333333,,28.91333333
1958:04,2919.47,8.960750161,17.018,3.8,3.193333333,2.69,6.366666667,,28.94333333
1959:01,2973.782,9.425179285,17.137,3.99,3.503333333,2.773333333,5.833333333,2.809506667,28.99333333
1959:02,3046.096,10.08084393,17.204,4.256666667,3.916666667,3,5.1,2.814536667,29.04333333
1959:03,3040.235,10.68186986,17.307,4.503333333,4.603333333,3.54,5.266666667,2.808283333,29.19333333
1959:04,3052.194,11.41949258,17.401,4.583333333,4.916666667,4.23,5.6,2.802463333,29.37
1960:01,3120.195,12.18443467,17.424,4.486666667,4.57,3.873333333,5.133333333,2.80297,29.39666667
1960:02,3108.361,12.67618315,17.515,4.26,3.87,2.993333333,5.233333333,2.806063333,29.57333333
1960:03,3116.104,13.22257036,17.582,3.833333333,3.073333333,2.36,5.533333333,2.810456667,29.59
1960:04,3078.384,13.85091565,17.661,3.886666667,2.993333333,2.306666667,6.266666667,2.810823333,29.78
1961:01,3099.314,14.61585773,17.694,3.786666667,2.873333333,2.35,6.8,2.801266667,29.84
1961:02,3156.922,15.1895643,17.692,3.79,2.936666667,2.303333333,7,2.793966667,29.83
1961:03,3209.561,15.8725483,17.757,3.98,3.013333333,2.303333333,6.766666667,2.800833333,29.94666667
1961:04,3274.61,16.41893551,17.777,3.973333333,3.1,2.46,6.2,2.8133,29.99
1962:01,3333.591,16.96532271,17.855,4.016666667,3.206666667,2.723333333,5.633333333,2.813633333,30.10666667
1962:02,3369.51,16.96532271,17.918,3.873333333,3.016666667,2.716666667,5.533333333,2.811466667,30.22
1962:03,3401.609,16.69212911,17.964,3.99,3.183333333,2.84,5.566666667,2.803766667,30.30666667
1962:04,3414.802,16.58285167,18.018,3.903333333,2.996666667,2.813333333,5.533333333,2.802166667,30.38
1963:01,3452.806,17.23851632,18.069,3.893333333,3.026666667,2.906666667,5.766666667,2.802933333,30.47666667
1963:02,3497.818,18.22201329,18.095,3.963333333,3.143333333,2.94,5.733333333,2.800166667,30.53333333
1963:03,3566.096,19.17819089,18.181,4.033333333,3.526666667,3.293333333,5.5,2.799366667,30.72
1963:04,3591.546,20.16168786,18.248,4.12,3.73,3.496666667,5.566666667,2.797366667,30.80333333
1964:01,3669.226,20.81735251,18.336,4.18,3.826666667,3.53,5.466666667,2.797766667,30.93
1964:02,3712.856,21.44569779,18.378,4.2,3.86,3.476666667,5.2,2.797533333,30.98
1964:03,3763.277,22.01940436,18.44,4.193333333,3.766666667,3.496666667,5,2.786566667,31.05
1964:04,3776.627,22.4018754,18.502,4.173333333,3.93,3.683333333,4.966666667,2.7863,31.19333333
1965:01,3869.782,22.4018754,18.562,4.203333333,4.01,3.89,4.9,2.792933333,31.29
1965:02,3922.689,22.21063988,18.655,4.206666667,4.02,3.873333333,4.666666667,2.7952,31.49
1965:03,4002.358,22.45651412,18.724,4.246666667,4.083333333,3.866666667,4.366666667,2.792833333,31.58333333
1965:04,4096.741,22.81166581,18.781,4.473333333,4.463333333,4.166666667,4.1,2.802966667,31.75
1966:01,4197.921,23.54928853,18.927,4.77,4.93,4.61,3.866666667,2.800533333,32.04666667
1966:02,4215.116,24.8059791,19.083,4.78,4.933333333,4.586666667,3.833333333,2.791833333,32.33666667
1966:03,4245.17,25.9807116,19.229,5.14,5.51,5.043333333,3.766666667,2.788966667,32.61666667
1966:04,4281.583,27.45595705,19.379,5.003333333,5.44,5.21,3.7,2.790933333,32.88333333
1967:01,4320.947,28.27553786,19.435,4.583333333,4.603333333,4.513333333,3.833333333,2.7938,32.96666667
1967:02,4324.696,29.53222843,19.528,4.82,4.246666667,3.66,3.833333333,2.795766667,33.16666667
1967:03,4362.001,31.03479324,19.708,5.246666667,5.126666667,4.3,3.8,2.785433333,33.5
1967:04,4397.108,32.67395486,19.877,5.643333333,5.563333333,4.753333333,3.9,2.6171,33.86666667
1968:01,4486.382,33.41157758,20.087,5.61,5.473333333,5.05,3.733333333,2.406,34.2
1968:02,4562.157,34.44971327,20.291,5.743333333,5.943333333,5.52,3.566666667,2.391866667,34.53333333
1968:03,4594.968,35.37857152,20.501,5.46,5.51,5.196666667,3.533333333,2.3895,35
1968:04,4615.388,37.07237186,20.729,5.77,5.836666667,5.586666667,3.4,2.386566667,35.43333333
1969:01,4687.098,38.19246563,20.933,6.176666667,6.363333333,6.093333333,3.4,2.390033333,35.86666667
1969:02,4702.124,39.9955434,21.201,6.353333333,6.573333333,6.196666667,3.433333333,2.3897,36.43333333
1969:03,4731.549,41.17027589,21.461,6.856666667,7.653333333,7.023333333,3.566666667,2.386566667,36.93333333
1969:04,4710.954,43.30118599,21.71,7.296666667,7.9,7.353333333,3.566666667,2.3946,37.5
1970:01,4702.809,44.85838953,21.961,7.366666667,7.553333333,7.21,4.166666667,2.403633333,38.1
1970:02,4711.143,46.2516769,22.205,7.713333333,7.453333333,6.676666667,4.766666667,2.4025,38.63333333
1970:03,4752.805,46.82538346,22.421,7.46,6.936666667,6.326666667,5.166666667,2.387866667,39.03333333
1970:04,4703.912,47.04393835,22.712,6.853333333,5.646666667,5.353333333,5.833333333,2.389433333,39.6
1971:01,4829.88,47.45372875,22.927,6.016666667,4.05,3.84,5.933333333,2.4141,39.93333333
1971:02,4857.374,46.96198027,23.188,6.246666667,4.993333333,4.25,5.9,2.418466667,40.3
1971:03,4895.258,47.69960299,23.416,6.483333333,5.75,5.01,6.033333333,2.440833333,40.7
1971:04,4909.529,47.80888043,23.562,5.89,4.726666667,4.23,5.933333333,2.503166667,41
1972:01,4997.015,48.76505804,23.811,6.033333333,4.406666667,3.436666667,5.766666667,2.597433333,41.33333333
1972:02,5112.722,49.83051309,23.949,6.143333333,4.843333333,3.77,5.7,2.597233333,41.6
1972:03,5159.837,51.22380046,24.16,6.29,5.153333333,4.22,5.566666667,2.4453,41.93333333
1972:04,5245.523,53.70986225,24.358,6.373333333,5.436666667,4.863333333,5.366666667,2.363733333,42.36666667
1973:01,5374.665,56.93354676,24.652,6.603333333,6.31,5.7,4.933333333,2.418633333,43.03333333
1973:02,5435.604,58.10827925,25.126,6.806666667,7.016666667,6.603333333,4.933333333,2.530166667,43.93333333
1973:03,5406.065,58.90054069,25.583,7.206666667,8.506666667,8.323333333,4.8,2.477166667,44.8
1973:04,5456.489,60.1299119,26.108,6.753333333,7.413333333,7.5,4.766666667,2.377866667,45.93333333
1974:01,5411.162,60.07527318,26.883,7.053333333,7.353333333,7.616666667,5.133333333,2.279833333,47.3
1974:02,5425.382,57.4526146,27.645,7.543333333,8.69,8.153333333,5.2,2.3975,48.56666667
1974:03,5372.849,55.15778834,28.391,7.963333333,9.01,8.19,5.633333333,2.350566667,49.93333333
1974:04,5351.356,52.42585232,29.114,7.67,7.673333333,7.36,6.6,2.3292,51.46666667
1975:01,5286.705,48.95629356,29.664,7.54,6.306666667,5.75,8.266666667,2.392033333,52.56666667
1975:02,5327.437,49.66659693,30.029,8.05,6.526666667,5.393333333,8.866666667,2.323833333,53.2
1975:03,5415.478,50.62277454,30.592,8.296666667,7.52,6.33,8.466666667,2.1274,54.26666667
1975:04,5488.489,50.86864878,31.105,8.063333333,6.68,5.626666667,8.3,2.042433333,55.26666667
1976:01,5612.427,53.35471056,31.448,7.753333333,5.976666667,4.916666667,7.733333333,1.9992,55.9
1976:02,5654.837,55.29438514,31.711,7.773333333,6.28,5.156666667,7.566666667,1.806066667,56.4
1976:03,5683.589,56.46911763,32.191,7.73,6.013333333,5.15,7.733333333,1.765,57.3
1976:04,5726.249,57.09746292,32.699,7.19,5.226666667,4.673333333,7.766666667,1.6514,58.13333333
1977:01,5792.875,57.75312756,33.285,7.353333333,5.42,4.63,7.5,1.713366667,59.2
1977:02,5906.568,57.69848884,33.855,7.37,5.693333333,4.84,7.133333333,1.718866667,60.23333333
1977:03,6011.064,57.61653076,34.366,7.356666667,6.28,5.496666667,6.9,1.735133333,61.06666667
1977:04,6011.695,58.43611157,34.858,7.596666667,6.96,6.11,6.666666667,1.8145,61.96666667
1978:01,6032.613,59.82939894,35.439,8.01,7.31,6.393333333,6.333333333,1.9268,63.03333333
1978:02,6267.163,60.78557655,36.169,8.32,7.786666667,6.476666667,6,1.835,64.46666667
1978:03,6328.452,62.17886392,36.806,8.49,8.446666667,7.313333333,6.033333333,1.931666667,65.96666667
1978:04,6413.33,63.27163833,37.501,8.82,9.816666667,8.57,5.9,1.9848,67.5
1979:01,6426.077,63.81802554,38.204,9.106666667,10.3,9.383333333,5.866666667,2.015766667,69.2
1979:02,6433.86,65.42986779,39.245,9.113333333,9.936666667,9.376666667,5.7,2.081366667,71.4
1979:03,6480.063,66.79583581,40.216,9.103333333,10.15333333,9.673333333,5.866666667,2.231066667,73.7
1979:04,6496.843,68.16180382,41.187,10.44666667,12.27,11.84333333,5.966666667,2.1599,76.03333333
1980:01,6517.864,69.82828479,42.419,11.98666667,13.93333333,13.35333333,6.3,2.252566667,79.03333333
1980:02,6385.668,70.07415903,43.455,10.47666667,10.28333333,9.616666667,7.333333333,2.282433333,81.7
1980:03,6375.988,68.32571998,44.469,10.95333333,10.13666667,9.153333333,7.666666667,2.3816,83.23333333
1980:04,6494.126,68.48963614,45.567,12.42333333,13.84,13.61333333,7.4,2.3855,85.56666667
1981:01,6628.634,68.84478782,46.749,12.96,14.12,14.39,7.433333333,2.309633333,87.93333333
1981:02,6580.199,68.7901491,47.529,13.75,15.12666667,14.90666667,7.4,2.079166667,89.76666667
1981:03,6655.692,70.374672,48.308,14.84666667,16.32,15.05333333,7.4,1.8362,92.26666667
1981:04,6578.035,71.38548833,49.043,14.08666667,13.54666667,11.75,8.233333333,1.882166667,93.76666667
1982:01,6468.003,70.72982368,49.66,14.29333333,14.33333333,12.81333333,8.833333333,1.8461,94.6
1982:02,6503.252,69.93756223,50.134,13.93,13.79666667,12.42,9.433333333,1.779566667,95.96666667
1982:03,6479.838,70.32003328,50.924,13.11666667,11.84,9.316666667,9.9,1.724133333,97.63333333
1982:04,6486.159,69.41849439,51.49,10.66666667,9.13,7.906666667,10.66666667,1.6481,97.93333333
1983:01,6571.112,70.2380752,51.936,10.56333333,8.86,8.106666667,10.36666667,1.532833333,98
1983:02,6721.061,71.27621089,52.415,10.54333333,9.18,8.396666667,10.13333333,1.5521,99.13333333
1983:03,6852.66,73.0519693,53.105,11.62666667,10.29666667,9.14,9.366666667,1.5095,100.1
1983:04,6993.986,74.74576964,53.458,11.68666667,9.953333333,8.8,8.533333333,1.4691,101.1
1984:01,7132.946,77.25915078,54.033,11.94333333,10.17666667,9.17,7.866666667,1.435,102.5333333
1984:02,7258.23,78.29728647,54.557,13.2,11.54666667,9.796666667,7.433333333,1.3958,103.5
1984:03,7329.642,79.47201896,54.98,12.86666667,11.81,10.32,7.433333333,1.2965,104.4
1984:04,7388.101,81.22045802,55.322,11.74333333,10.01666667,8.803333333,7.3,1.214966667,105.3
1985:01,7461.538,81.32973546,55.984,11.58333333,9.39,8.183333333,7.233333333,1.115166667,106.2666667
1985:02,7529.86,82.23127435,56.456,10.81333333,8.466666667,7.46,7.3,1.2556,107.2333333
1985:03,7647.016,82.14931626,56.905,10.33666667,7.993333333,7.106666667,7.2,1.376333333,107.9
1985:04,7704.382,82.17663562,57.296,9.76,7.853333333,7.166666667,7.033333333,1.435266667,109
1986:01,7775.761,81.93076138,57.706,8.556666667,7.456666667,6.896666667,7.033333333,1.4405,109.5666667
1986:02,7811.462,81.95808074,57.636,7.603333333,6.606666667,6.14,7.166666667,1.509366667,109.0333333
1986:03,7890.093,81.7122065,57.929,7.306666667,5.99,5.523333333,6.966666667,1.487666667,109.7
1986:04,7930.97,81.65756778,58.274,7.263333333,5.796666667,5.353333333,6.833333333,1.429833333,110.4666667
1987:01,7986.448,82.42250987,58.82,7.193333333,5.923333333,5.536666667,6.6,1.5419,111.8
1987:02,8076.102,82.58642603,59.379,8.343333333,6.766666667,5.656666667,6.266666667,1.642233333,113.0666667
1987:03,8149.352,85.34568141,59.936,8.876666667,7.126666667,6.043333333,6,1.617733333,114.2666667
1987:04,8283.848,88.15957552,60.462,9.123333333,7.24,5.863333333,5.833333333,1.7554,115.3333333
1988:01,8330.445,90.52767099,60.933,8.416666667,6.78,5.723333333,5.7,1.797366667,116.2333333
1988:02,8440.506,91.91077836,61.606,8.91,7.3,6.21,5.466666667,1.8415,117.5666667
1988:03,8489.204,92.99750559,62.365,9.1,8.003333333,7.01,5.466666667,1.6952,119
1988:04,8601.634,94.41354409,62.989,8.956666667,8.526666667,7.726666667,5.333333333,1.791033333,120.3
1989:01,8688.396,97.08096547,63.695,9.206666667,9.29,8.54,5.2,1.746833333,121.6666667
1989:02,8756.711,98.06889931,64.542,8.773333333,8.926666667,8.41,5.233333333,1.628166667,123.6333333
1989:03,8822.076,97.83838141,64.909,8.106666667,8.096666667,7.843333333,5.233333333,1.597666667,124.6
1989:04,8840.727,98.26648608,65.416,7.906666667,7.826666667,7.653333333,5.366666667,1.5855,125.8666667
1990:01,8937.52,99.22148879,66.349,8.423333333,8.126666667,7.76,5.3,1.657266667,128.0333333
1990:02,8972.072,101.329081,66.945,8.676666667,8.273333333,7.746666667,5.333333333,1.674966667,129.3
1990:03,8974.327,102.9427063,67.786,8.703333333,7.826666667,7.476666667,5.7,1.8635,131.5333333
1990:04,8897.835,104.2928825,68.675,8.396666667,7.303333333,6.99,6.133333333,1.9439,133.7666667
1991:01,8856.143,104.7539183,69.016,8.016666667,6.436666667,6.023333333,6.6,1.9067,134.7666667
1991:02,8924.858,104.3258136,69.383,8.13,6.243333333,5.56,6.833333333,1.707733333,135.5666667
1991:03,8967.695,103.8318467,69.853,7.94,5.886666667,5.376666667,6.866666667,1.6873,136.6
1991:04,9006.835,102.6463261,70.354,7.346666667,4.866666667,4.54,7.1,1.776633333,137.7333333
1992:01,9113.23,100.571665,70.787,7.303333333,4.356666667,3.893333333,7.366666667,1.7702,138.6666667
1992:02,9213.695,98.13476156,71.257,7.376666667,4.22,3.68,7.6,1.807066667,139.7333333
1992:03,9303.254,97.80545028,71.711,6.616666667,3.416666667,3.083333333,7.633333333,1.902533333,140.8
1992:04,9396.464,95.30268455,72.216,6.743333333,3.563333333,3.07,7.366666667,1.5769,142.0333333
1993:01,9413.955,95.66492696,72.645,6.28,3.406666667,2.96,7.133333333,1.4779,143.0666667
1993:02,9469.926,95.5990647,73.135,5.99,3.38,2.966666667,7.066666667,1.533533333,144.1
1993:03,9516.093,94.24888845,73.454,5.616666667,3.423333333,3.003333333,6.8,1.5039,144.7666667
1993:04,9643.12,92.99750559,73.876,5.606666667,3.526666667,3.06,6.633333333,1.491466667,145.9666667
1994:01,9737.638,92.93164333,74.138,6.066666667,3.91,3.243333333,6.566666667,1.4878,146.7
1994:02,9870.711,95.07216666,74.551,7.083333333,5.133333333,3.986666667,6.2,1.504233333,147.5333333
1994:03,9928.868,97.01510321,75.082,7.333333333,5.6,4.476666667,6,1.551666667,148.9
1994:04,10041.591,98.23355495,75.436,7.836666667,6.596666667,5.28,5.633333333,1.584766667,149.7666667
1995:01,10075.907,98.16769269,75.797,7.483333333,6.726666667,5.736666667,5.466666667,1.582266667,150.8666667
1995:02,10111.126,99.32028217,76.224,6.62,5.97,5.596666667,5.666666667,1.5965,152.1
1995:03,10197.669,97.77251915,76.53,6.323333333,5.653333333,5.366666667,5.666666667,1.573666667,152.8666667
1995:04,10270.057,99.64959345,76.867,5.893333333,5.443333333,5.26,5.566666667,1.5603,153.7
1996:01,10337.435,99.18855766,77.298,5.91,5.123333333,4.93,5.533333333,1.530633333,155.0666667
1996:02,10517.932,99.84718022,77.809,6.72,5.663333333,5.02,5.5,1.524266667,156.4
1996:03,10615.223,101.1973565,78.141,6.78,5.783333333,5.096666667,5.266666667,1.554066667,157.3
1996:04,10727.36,103.2061553,78.67,6.343333333,5.48,4.976666667,5.333333333,1.6375,158.6666667
1997:01,10809.133,105.7418521,79.016,6.563333333,5.646666667,5.06,5.233333333,1.631233333,159.6333333
1997:02,10972.224,105.182023,79.211,6.696666667,5.85,5.046666667,5,1.635466667,160
1997:03,11111.951,105.5442654,79.414,6.243333333,5.54,5.046666667,4.866666667,1.624733333,160.8
1997:04,11198.207,103.0414996,79.661,5.906666667,5.483333333,5.09,4.666666667,1.660533333,161.6666667
1998:01,11308.995,100.9340962,79.656,5.586666667,5.313333333,5.053333333,4.633333333,1.6459,162
1998:02,11418.673,97.8964079,79.798,5.596666667,5.41,4.976666667,4.4,1.653633333,162.5333333
1998:03,11568.054,96.68823643,80.04,5.203333333,5.093333333,4.823333333,4.533333333,1.6534,163.3666667
1998:04,11757.945,96.03237192,80.244,4.67,4.39,4.253333333,4.433333333,1.675433333,164.1333333
1999:01,11867.763,97.4476585,80.453,4.983333333,4.663333333,4.406666667,4.3,1.6329,164.7333333
1999:02,11967.734,97.41313931,80.883,5.54,4.88,4.453333333,4.266666667,1.606433333,165.9666667
1999:03,12120.094,98.82842589,81.309,5.883333333,5.16,4.65,4.233333333,1.601866667,167.2
1999:04,12329.827,100.1746741,81.792,6.14,5.606666667,5.043333333,4.066666667,1.6303,168.4333333
2000:01,12365.164,100.7615002,82.475,6.48,6.186666667,5.52,4.033333333,1.606766667,170.1
2000:02,12598.723,103.2814007,82.85,6.176666667,6.216666667,5.713333333,3.933333333,1.5335,171.4333333
2000:03,12614.806,104.0063036,83.364,5.893333333,6.13,6.016666667,4,1.4767,173
2000:04,12681.965,105.2144751,83.824,5.566666667,5.9,6.016666667,3.9,1.446433333,174.2333333
2001:01,12645.65,102.1422676,84.383,5.05,4.596666667,4.816666667,4.233333333,1.458166667,175.9
2001:02,12712.787,98.89746426,84.785,5.27,3.78,3.66,4.4,1.4211,177.1333333
2001:03,12674.114,94.7206429,84.851,4.98,3.303333333,3.17,4.833333333,1.4386,177.6333333
2001:04,12705.159,92.44237671,84.908,4.77,2.243333333,1.906666667,5.5,1.442333333,177.5
2002:01,12824.603,92.96016448,85.064,5.076666667,2.32,1.723333333,5.7,1.425966667,178.0666667
2002:02,12894.676,95.61814171,85.721,5.1,2.343333333,1.716666667,5.833333333,1.462133333,179.4666667
2002:03,12956.671,97.30958176,86.155,4.26,1.813333333,1.643333333,5.733333333,1.549866667,180.4333333
2002:04,12962.92,97.75833116,86.548,4.006666667,1.53,1.333333333,5.866666667,1.571633333,181.5
2003:01,13028.597,98.96572733,87.16,3.92,1.3,1.156666667,5.866666667,1.602633333,183.3666667
2003:02,13151.812,98.50689906,87.237,3.62,1.153333333,1.04,6.133333333,1.619066667,183.0666667
2003:03,13374.049,99.14219974,87.77,4.233333333,1.223333333,0.93,6.133333333,1.6105,184.4333333
2003:04,13525.715,102.0010528,88.124,4.286666667,1.3,0.916666667,5.833333333,1.706833333,185.1333333
2004:01,13606.565,103.2716541,88.797,4.02,1.223333333,0.916666667,5.7,1.839633333,186.7
2004:02,13710.681,104.7893168,89.421,4.6,1.776666667,1.076666667,5.6,1.805666667,188.1666667
2004:03,13831.044,105.6363844,89.942,4.303333333,2.08,1.486666667,5.433333333,1.819266667,189.3666667
2004:04,13947.662,103.7304824,90.652,4.173333333,2.466666667,2.006666667,5.433333333,1.865666667,191.4
2005:01,14100.244,105.7775623,91.123,4.296666667,3.063333333,2.536666667,5.3,1.890366667,192.3666667
2005:02,14177.163,105.9893292,91.727,4.16,3.336666667,2.863333333,5.1,1.856566667,193.6666667
2005:03,14292.871,105.6363844,92.732,4.213333333,3.786666667,3.36,4.966666667,1.783833333,196.6
2005:04,14371.95,106.8011023,93.458,4.49,4.286666667,3.826666667,4.966666667,1.7486,198.4333333
2006:01,14546.356,108.2128816,93.89,4.57,4.633333333,4.393333333,4.733333333,1.7536,199.4666667
2006:02,14591.608,110.0129002,94.612,5.07,5.02,4.703333333,4.633333333,1.826733333,201.2666667
2006:03,14604.376,111.0364401,95.287,4.896666667,5.09,4.906666667,4.633333333,1.8741,203.1666667
2006:04,14718.445,112.2364525,95.125,4.63,4.986666667,4.903333333,4.433333333,1.9173,202.3333333
2007:01,14728.052,111.9188022,96.011,4.68,5.01,4.983333333,4.5,1.955,204.317
2007:02,14841.529,112.6599863,96.772,4.846666667,4.933333333,4.736666667,4.5,1.986266667,206.631
2007:03,14941.511,114.5305939,97.32,4.73,4.523333333,4.303333333,4.666666667,2.021633333,207.939
2007:04,14996.054,115.271778,98.294,4.26,3.62,3.39,4.8,2.0437,210.4896667
2008:01,14895.353,115.8903425,99.136,3.663333333,2.1,2.043333333,5,1.978766667,212.7696667
2008:02,14969.174,114.0571619,100.172,3.886666667,2.073333333,1.626666667,5.333333333,1.971,215.5376667
2008:03,14895.057,109.924173,101.195,3.863333333,2.123333333,1.493333333,6,1.890866667,218.861
2008:04,14574.644,99.79168403,99.748,3.253333333,0.993333333,0.296666667,6.866666667,1.5681,213.8486667
2009:01,14372.08,80.19331722,99.184,2.736666667,0.566666667,0.213333333,8.266666667,1.435133333,212.4326667
2009:02,14356.903,84.15965336,99.627,3.313333333,0.52,0.173333333,9.3,1.549966667,213.482
2009:03,14402.546,88.85926173,100.252,3.516666667,0.446666667,0.156666667,9.633333333,1.6411,215.3473333
2009:04,14540.242,95.12540622,100.938,3.46,0.35,0.056666667,9.933333333,1.634566667,217.004
2010:01,14597.663,98.79176735,101.282,3.716666667,0.366666667,0.106666667,9.8,1.561133333,217.4046667
2010:02,14738.019,99.82501458,101.398,3.49,0.38,0.146666667,9.633333333,1.4923,217.28
2010:03,14839.32,101.2582285,101.698,2.786666667,0.27,0.156666667,9.5,1.551866667,218.0096667
2010:04,14942.4,100.6249479,102.239,2.863333333,0.256666667,0.136666667,9.566666667,1.580766667,219.645
2011:01,14893.954,96.95858678,102.996,3.46,0.273333333,0.126666667,9.033333333,1.602166667,222.027
2011:02,15011.251,93.0255812,103.938,3.21,0.206666667,0.046666667,9.066666667,1.631,224.5653333
2011:03,15062.144,99.19173402,104.529,2.426666667,0.133333333,0.023333333,9,1.6095,226.178
2011:04,15242.142,100.2249813,104.88,2.046666667,0.113333333,0.013333333,8.633333333,1.572033333,226.9713333
2012:01,15381.564,100.991584,105.471,2.036666667,0.156666667,0.066666667,8.233333333,1.571733333,228.2693333
2012:02,15427.67,98.85842846,105.75,1.823333333,0.186666667,0.086666667,8.2,1.582666667,228.841
2012:03,15533.985,95.79201733,106.193,1.643333333,0.183333333,0.103333333,8.033333333,1.581366667,230.0296667
2012:04,15539.628,94.25881177,106.622,1.706666667,0.173333333,0.086666667,7.833333333,1.606433333,231.277
2013:01,15583.948,94.72543955,106.909,1.95,0.153333333,0.086666667,7.7,1.550633333,232.1026667
2013:02,15679.677,95.99200067,106.878,1.996666667,0.126666667,0.05,7.5,1.5367,232.0866667
2013:03,15839.347,97.55853679,107.387,2.71,0.123333333,0.033333333,7.233333333,1.5523,233.597
2013:04,15965.569,,107.573,2.746666667,0.123333333,0.063333333,6.966666667,1.619366667,234.0923333
